filename,emotion
1.wav,Disgusted
2.wav,Angry
3.wav,Angry
4.wav,Happy
5.wav,Neutral
6.wav,Sad
7.wav,Neutral
8.wav,Neutral
9.wav,Happy
10.wav,Disgusted
11.wav,Angry
12.wav,Sad
13.wav,Neutral
14.wav,Disgusted
15.wav,Happy
16.wav,Angry
17.wav,Fearful
18.wav,Neutral
19.wav,Suprised
20.wav,Fearful
21.wav,Sad
22.wav,Happy
23.wav,Disgusted
24.wav,Fearful
25.wav,Angry
26.wav,Neutral
27.wav,Happy
28.wav,Angry
29.wav,Fearful
30.wav,Sad
31.wav,Disgusted
32.wav,Suprised
33.wav,Angry
34.wav,Angry
35.wav,Neutral
36.wav,Neutral
37.wav,Sad
38.wav,Neutral
39.wav,Fearful
40.wav,Happy
41.wav,Sad
42.wav,Sad
43.wav,Neutral
44.wav,Sad
45.wav,Happy
46.wav,Suprised
47.wav,Angry
48.wav,Suprised
49.wav,Fearful
50.wav,Neutral
51.wav,Sad
52.wav,Neutral
53.wav,Fearful
54.wav,Happy
55.wav,Neutral
56.wav,Happy
57.wav,Neutral
58.wav,Neutral
59.wav,Sad
60.wav,Happy
61.wav,Angry
62.wav,Sad
63.wav,Neutral
64.wav,Fearful
65.wav,Angry
66.wav,Suprised
67.wav,Neutral
68.wav,Happy
69.wav,Happy
70.wav,Happy
71.wav,Neutral
72.wav,Neutral
73.wav,Neutral
74.wav,Sad
75.wav,Sad
76.wav,Happy
77.wav,Neutral
78.wav,Disgusted
79.wav,Sad
80.wav,Neutral
81.wav,Neutral
82.wav,Suprised
83.wav,Disgusted
84.wav,Angry
85.wav,Sad
86.wav,Angry
87.wav,Angry
88.wav,Sad
89.wav,Sad
90.wav,Neutral
91.wav,Angry
92.wav,Disgusted
93.wav,Sad
94.wav,Angry
95.wav,Angry
96.wav,Neutral
97.wav,Fearful
98.wav,Neutral
99.wav,Neutral
100.wav,Angry
101.wav,Fearful
102.wav,Suprised
103.wav,Sad
104.wav,Happy
105.wav,Neutral
106.wav,Fearful
107.wav,Angry
108.wav,Sad
109.wav,Neutral
110.wav,Sad
111.wav,Happy
112.wav,Sad
113.wav,Sad
114.wav,Disgusted
115.wav,Neutral
116.wav,Happy
117.wav,Angry
118.wav,Happy
119.wav,Angry
120.wav,Sad
121.wav,Sad
122.wav,Angry
123.wav,Angry
124.wav,Disgusted
125.wav,Sad
126.wav,Happy
127.wav,Sad
128.wav,Fearful
129.wav,Suprised
130.wav,Neutral
131.wav,Suprised
132.wav,Happy
133.wav,Happy
134.wav,Disgusted
135.wav,Neutral
136.wav,Happy
137.wav,Happy
138.wav,Happy
139.wav,Happy
140.wav,Sad
141.wav,Sad
142.wav,Angry
143.wav,Happy
144.wav,Happy
145.wav,Neutral
146.wav,Happy
147.wav,Fearful
148.wav,Angry
149.wav,Disgusted
150.wav,Angry
151.wav,Suprised
152.wav,Happy
153.wav,Neutral
154.wav,Sad
155.wav,Sad
156.wav,Sad
157.wav,Happy
158.wav,Neutral
159.wav,Neutral
160.wav,Happy
161.wav,Suprised
162.wav,Disgusted
163.wav,Happy
164.wav,Neutral
165.wav,Neutral
166.wav,Sad
167.wav,Disgusted
168.wav,Neutral
169.wav,Happy
170.wav,Disgusted
171.wav,Sad
172.wav,Disgusted
173.wav,Sad
174.wav,Neutral
175.wav,Suprised
176.wav,Happy
177.wav,Angry
178.wav,Fearful
179.wav,Neutral
180.wav,Angry
181.wav,Disgusted
182.wav,Disgusted
183.wav,Angry
184.wav,Angry
185.wav,Angry
186.wav,Neutral
187.wav,Suprised
188.wav,Happy
189.wav,Sad
190.wav,Disgusted
191.wav,Angry
192.wav,Happy
193.wav,Neutral
194.wav,Neutral
195.wav,Angry
196.wav,Sad
197.wav,Angry
198.wav,Happy
199.wav,Sad
200.wav,Happy
201.wav,Neutral
202.wav,Fearful
203.wav,Suprised
204.wav,Fearful
205.wav,Neutral
206.wav,Angry
207.wav,Angry
208.wav,Neutral
209.wav,Sad
210.wav,Happy
211.wav,Happy
212.wav,Neutral
213.wav,Neutral
214.wav,Suprised
215.wav,Sad
216.wav,Fearful
217.wav,Sad
218.wav,Disgusted
219.wav,Sad
220.wav,Fearful
221.wav,Suprised
222.wav,Neutral
223.wav,Sad
224.wav,Neutral
225.wav,Sad
226.wav,Angry
227.wav,Disgusted
228.wav,Angry
229.wav,Neutral
230.wav,Neutral
231.wav,Neutral
232.wav,Sad
233.wav,Disgusted
234.wav,Disgusted
235.wav,Happy
236.wav,Fearful
237.wav,Fearful
238.wav,Neutral
239.wav,Sad
240.wav,Neutral
241.wav,Fearful
242.wav,Angry
243.wav,Happy
244.wav,Disgusted
245.wav,Fearful
246.wav,Happy
247.wav,Disgusted
248.wav,Neutral
249.wav,Neutral
250.wav,Angry
251.wav,Angry
252.wav,Happy
253.wav,Disgusted
254.wav,Sad
255.wav,Happy
256.wav,Neutral
257.wav,Happy
258.wav,Angry
259.wav,Angry
260.wav,Sad
261.wav,Neutral
262.wav,Fearful
263.wav,Disgusted
264.wav,Angry
265.wav,Neutral
266.wav,Happy
267.wav,Fearful
268.wav,Neutral
269.wav,Fearful
270.wav,Happy
271.wav,Disgusted
272.wav,Disgusted
273.wav,Happy
274.wav,Sad
275.wav,Angry
276.wav,Sad
277.wav,Angry
278.wav,Angry
279.wav,Sad
280.wav,Sad
281.wav,Sad
282.wav,Disgusted
283.wav,Neutral
284.wav,Happy
285.wav,Angry
286.wav,Neutral
287.wav,Neutral
288.wav,Sad
289.wav,Suprised
290.wav,Disgusted
291.wav,Sad
292.wav,Neutral
293.wav,Angry
294.wav,Sad
295.wav,Happy
296.wav,Neutral
297.wav,Angry
298.wav,Happy
299.wav,Happy
300.wav,Angry
301.wav,Happy
302.wav,Fearful
303.wav,Angry
304.wav,Sad
305.wav,Sad
306.wav,Sad
307.wav,Fearful
308.wav,Sad
309.wav,Neutral
310.wav,Sad
311.wav,Sad
312.wav,Sad
313.wav,Angry
314.wav,Fearful
315.wav,Sad
316.wav,Neutral
317.wav,Angry
318.wav,Fearful
319.wav,Suprised
320.wav,Fearful
321.wav,Happy
322.wav,Disgusted
323.wav,Angry
324.wav,Sad
325.wav,Angry
326.wav,Happy
327.wav,Angry
328.wav,Happy
329.wav,Angry
330.wav,Disgusted
331.wav,Sad
332.wav,Angry
333.wav,Happy
334.wav,Fearful
335.wav,Neutral
336.wav,Happy
337.wav,Happy
338.wav,Sad
339.wav,Sad
340.wav,Sad
341.wav,Neutral
342.wav,Happy
343.wav,Happy
344.wav,Sad
345.wav,Disgusted
346.wav,Disgusted
347.wav,Sad
348.wav,Neutral
349.wav,Sad
350.wav,Sad
351.wav,Angry
352.wav,Neutral
353.wav,Sad
354.wav,Neutral
355.wav,Happy
356.wav,Angry
357.wav,Sad
358.wav,Neutral
359.wav,Fearful
360.wav,Angry
361.wav,Sad
362.wav,Neutral
363.wav,Happy
364.wav,Suprised
365.wav,Neutral
366.wav,Happy
367.wav,Sad
368.wav,Neutral
369.wav,Angry
